nivel,id_ambito_geografico,ubigeo_departamento,nombre_departamento,ubigeo_provincia,nombre_provincia,actasContabilizadas,contabilizadas,totalActas,participacionCiudadana,actasEnviadasJee,enviadasJee,actasPendientesJee,pendientesJee,fechaActualizacion,idUbigeoDepartamento,idUbigeoProvincia,idUbigeoDistrito,idUbigeoDistritoElectoral,totalVotosEmitidos,totalVotosValidos,porcentajeVotosEmitidos,porcentajeVotosValidos,error
total,,,TOTAL (Peru + exterior),,,98.012,90922,92766,72.38,1.988,1844,0.0,0,1778013904287,140000,140100,140101,15,19778170,16448339,100,100,
exterior,2,,TOTAL Exterior (ambito 2),,,95.596,2431,2543,32.198,4.404,112,0.0,0,1778014806224,140000,140100,140101,15,389855,296423,100,100,
departamento,1,020000,Áncash,,,98.79,3430,3472,70.894,1.21,42,0.0,0,1778014806224,140000,140100,140101,15,688654,536528,100,100,
nacional,1,,TOTAL Peru (ambito 1),,,98.08,88491,90223,74.243,1.92,1732,0.0,0,1778014806224,140000,140100,140101,15,19388315,16151916,100,100,
departamento,1,010000,Amazonas,,,98.2,1255,1278,61.079,1.8,23,0.0,0,1778014806224,140000,140100,140101,15,210871,160490,100,100,
departamento,1,050000,Ayacucho,,,99.316,1887,1900,67.968,0.684,13,0.0,0,1778014806224,140000,140100,140101,15,353597,282268,100,100,
departamento,1,040000,Arequipa,,,99.692,4202,4215,80.799,0.308,13,0.0,0,1778014806224,140000,140100,140101,15,991016,877445,100,100,
departamento,1,070000,Cusco,,,97.037,3865,3983,72.105,2.963,118,0.0,0,1778014806224,140000,140100,140101,15,817494,674376,100,100,
departamento,1,060000,Cajamarca,,,98.962,4196,4240,68.021,1.038,44,0.0,0,1778014806224,140000,140100,140101,15,815422,638931,100,100,
departamento,1,030000,Apurímac,,,98.33,1295,1317,69.565,1.67,22,0.0,0,1778014806224,140000,140100,140101,15,251364,197899,100,100,
departamento,1,090000,Huánuco,,,96.412,2257,2341,64.606,3.588,84,0.0,0,1778014806224,140000,140100,140101,15,424151,330112,100,100,
departamento,1,080000,Huancavelica,,,97.486,1241,1273,62.621,2.514,32,0.0,0,1778014806224,140000,140100,140101,15,212565,168957,100,100,
departamento,1,100000,Ica,,,97.38,2379,2443,79.55,2.62,64,0.0,0,1778014806224,140000,140100,140101,15,567987,470151,100,100,
departamento,1,110000,Junín,,,99.783,3683,3691,73.789,0.217,8,0.0,0,1778014806224,140000,140100,140101,15,784006,634724,100,100,
departamento,1,120000,La Libertad,,,99.868,5295,5302,75.034,0.132,7,0.0,0,1778014806224,140000,140100,140101,15,1165051,932059,100,100,
departamento,1,140000,Lima,,,97.692,28572,29247,78.01,2.308,675,0.0,0,1778014806224,140000,140100,140101,15,6748688,5953287,100,100,
departamento,1,150000,Loreto,,,91.509,2468,2697,53.757,8.491,229,0.0,0,1778014806224,140000,140100,140101,15,417114,315007,100,100,
departamento,1,130000,Lambayeque,,,100.0,3590,3590,77.792,0.0,0,0.0,0,1778014806224,140000,140100,140101,15,817863,667213,100,100,
departamento,1,160000,Madre De Dios,,,97.239,493,507,68.757,2.761,14,0.0,0,1778014806224,140000,140100,140101,15,101469,78591,100,100,
departamento,1,170000,Moquegua,,,99.135,573,578,79.111,0.865,5,0.0,0,1778014806224,140000,140100,140101,15,130239,113138,100,100,
departamento,1,180000,Pasco,,,99.626,799,802,65.065,0.374,3,0.0,0,1778014806224,140000,140100,140101,15,145547,115465,100,100,
departamento,1,210000,San Martín,,,97.83,2479,2534,72.178,2.17,55,0.0,0,1778014806224,140000,140100,140101,15,522287,381991,100,100,
departamento,1,190000,Piura,,,97.33,5140,5281,72.889,2.67,141,0.0,0,1778014806224,140000,140100,140101,15,1118185,858527,100,100,
departamento,1,200000,Puno,,,99.235,3371,3397,79.273,0.765,26,0.0,0,1778014806224,140000,140100,140101,15,763786,646137,100,100,
departamento,1,220000,Tacna,,,99.904,1040,1041,82.203,0.096,1,0.0,0,1778014806224,140000,140100,140101,15,248758,220688,100,100,
provincia,1,010000,Amazonas,010100,Chachapoyas,96.471,164,170,68.257,3.529,6,0.0,0,1778014806224,140000,140100,140101,15,31122,24634,100,100,
departamento,1,240000,Callao,,,98.378,2851,2898,76.883,1.622,47,0.0,0,1778014806224,140000,140100,140101,15,660400,569712,100,100,
departamento,1,230000,Tumbes,,,100.0,632,632,78.18,0.0,0,0.0,0,1778014806224,140000,140100,140101,15,141754,110881,100,100,
departamento,1,250000,Ucayali,,,95.78,1498,1564,63.897,4.22,66,0.0,0,1778014806224,140000,140100,140101,15,290047,217339,100,100,
provincia,1,010000,Amazonas,010200,Bagua,99.2,248,250,59.772,0.8,2,0.0,0,1778014806224,140000,140100,140101,15,41751,32274,100,100,
provincia,1,010000,Amazonas,010400,Luya,99.371,158,159,63.279,0.629,1,0.0,0,1778014806224,140000,140100,140101,15,25345,18364,100,100,
provincia,1,010000,Amazonas,010500,Rodríguez De Mendoza,100.0,102,102,61.437,0.0,0,0.0,0,1778014806224,140000,140100,140101,15,16016,11483,100,100,
provincia,1,010000,Amazonas,010600,Condorcanqui,98.276,171,174,41.402,1.724,3,0.0,0,1778014806224,140000,140100,140101,15,19587,14603,100,100,
provincia,1,010000,Amazonas,010300,Bongará,100.0,84,84,68.587,0.0,0,0.0,0,1778014806224,140000,140100,140101,15,15214,11441,100,100,
provincia,1,010000,Amazonas,010700,Utcubamba,96.755,328,339,65.652,3.245,11,0.0,0,1778014806224,140000,140100,140101,15,61836,47691,100,100,
provincia,1,020000,Áncash,020200,Aija,100.0,26,26,67.721,0.0,0,0.0,0,1778014806224,140000,140100,140101,15,4473,3414,100,100,
