UBIGEO,UBIGEO_INEI,DEPARTAMENTO,PROVINCIA,DISTRITO,pobreza_inf_2018,pobreza_sup_2018,pobreza_mid_2018,grupo_robusto,rank_pobreza,pob2020,valid_candidates,jpp_votes,fp_votes,rp_votes,jpp_share,fp_share,rp_share,jpp_minus_fp_share
010101,010101,Amazonas,Chachapoyas,Chachapoyas,5.773727920000001,12.29552208,9.034625,19.0,1747.0,39051.0,13100,1033,2315,1104,0.07885496183206107,0.1767175572519084,0.08427480916030534,-0.09786259541984733
010102,010102,Amazonas,Chachapoyas,Asunción,25.308002240000004,47.73189576,36.519949000000004,10.0,852.0,278.0,121,15,13,5,0.12396694214876033,0.10743801652892562,0.04132231404958678,0.01652892561983471
010103,010103,Amazonas,Chachapoyas,Balsas,36.79330596,54.672618039999996,45.732962,8.0,506.0,1180.0,469,149,91,10,0.31769722814498935,0.19402985074626866,0.021321961620469083,0.12366737739872069
010104,010104,Amazonas,Chachapoyas,Cheto,27.947204199999998,50.392359799999994,39.169782,10.0,754.0,702.0,365,77,67,18,0.21095890410958903,0.18356164383561643,0.049315068493150684,0.0273972602739726
010105,010105,Amazonas,Chachapoyas,Chiliquin,42.32425620000001,63.76706780000001,53.04566200000001,6.0,261.0,589.0,278,56,109,7,0.2014388489208633,0.3920863309352518,0.025179856115107913,-0.1906474820143885
010106,010106,Amazonas,Chachapoyas,Chuquibamba,43.209796479999994,60.00586752,51.607832,7.0,315.0,1933.0,470,88,157,21,0.18723404255319148,0.33404255319148934,0.04468085106382979,-0.14680851063829786
010107,010107,Amazonas,Chachapoyas,Granada,33.020712520000004,54.71120148000001,43.86595700000001,8.0,581.0,539.0,321,57,52,5,0.17757009345794392,0.16199376947040497,0.01557632398753894,0.015576323987538943
010108,010108,Amazonas,Chachapoyas,Huancas,20.249011080000002,43.70561292,31.977312,11.0,1011.0,1456.0,522,70,159,35,0.13409961685823754,0.3045977011494253,0.06704980842911877,-0.17049808429118776
010109,010109,Amazonas,Chachapoyas,La Jalca,39.52227884,56.373167159999994,47.947722999999996,8.0,426.0,3966.0,2376,1355,142,38,0.5702861952861953,0.05976430976430976,0.015993265993265993,0.5105218855218855
010110,010110,Amazonas,Chachapoyas,Leimebamba,19.23964076,32.24372724,25.741684,14.0,1230.0,3815.0,1285,239,200,85,0.1859922178988327,0.1556420233463035,0.06614785992217899,0.030350194552529186
010111,010111,Amazonas,Chachapoyas,Levanto,31.442512880000002,50.72037512000001,41.081444000000005,9.0,668.0,803.0,710,165,209,24,0.2323943661971831,0.2943661971830986,0.03380281690140845,-0.061971830985915494
010112,010112,Amazonas,Chachapoyas,Magdalena,21.419884959999997,39.84829104,30.634088,12.0,1055.0,911.0,296,51,89,6,0.17229729729729729,0.30067567567567566,0.02027027027027027,-0.12837837837837837
010113,010113,Amazonas,Chachapoyas,Mariscal Castilla,30.565661239999997,47.896102760000005,39.230882,10.0,749.0,1534.0,469,113,145,15,0.24093816631130063,0.3091684434968017,0.031982942430703626,-0.06823027718550109
010114,010114,Amazonas,Chachapoyas,Molinopampa,27.9678504,43.340757599999996,35.654303999999996,10.0,887.0,2266.0,1249,244,273,72,0.1953562850280224,0.21857485988791034,0.057646116893514815,-0.02321857485988793
