estado_cruce,codigo_local_normalizado,csv_codigoLocalVotacion,csv_nombreLocalVotacion,csv_departamento,csv_provincia,csv_distrito,csv_match_metodo,csv_match_detalle,csv_iiee_codigo_local,csv_iiee_nombre,csv_iiee_direccion,csv_iiee_latitud,csv_iiee_longitud,xlsx_ID_LOCAL,xlsx_NOMBRE_DEL_LOCAL,xlsx_DEPARTAMENTO,xlsx_PROVINCIA,xlsx_DISTRITO,xlsx_NRO_DE_MESAS_POR_LOCAL
ambos,1,1,IE 18288 ISABEL LYNCH DE RUBIO,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,xlsx,xlsx_id_local,0001,IE 18288 ISABEL LYNCH DE RUBIO,JR AYACUCHO 870,-6.22887,-77.87167,0001,IE 18288 ISABEL LYNCH DE RUBIO,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,13
ambos,2,2,IE VIRGEN ASUNTA,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,xlsx,xlsx_id_local,0002,IE VIRGEN ASUNTA,JR LA MERCED 665,-6.23028,-77.86994,0002,IE VIRGEN ASUNTA,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,11
ambos,3,3,IE 18022 MARIA AUXILIADORA,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,xlsx,xlsx_id_local,0003,IE 18022 MARIA AUXILIADORA,JR PIURA SN,-6.23219,-77.87233,0003,IE 18022 MARIA AUXILIADORA,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,8
ambos,4,4,IE 18010,AMAZONAS,CHACHAPOYAS,ASUNCION,xlsx,xlsx_id_local,0004,IE 18010,PJE LA AMISTAD SN,-6.0317,-77.7102,0004,IE 18010,AMAZONAS,CHACHAPOYAS,ASUNCION,2
ambos,5,5,IE 18012,AMAZONAS,CHACHAPOYAS,BALSAS,xlsx,xlsx_id_local,0005,IE 18012,JR EL MAESTRO 130,-6.8356,-78.019,0005,IE 18012,AMAZONAS,CHACHAPOYAS,BALSAS,5
ambos,6,6,IE 18017,AMAZONAS,CHACHAPOYAS,CHETO,xlsx,xlsx_id_local,0006,IE 18017,JR TRIUNFO SN,-6.2545,-77.7012,0006,IE 18017,AMAZONAS,CHACHAPOYAS,CHETO,3
ambos,7,7,IE 18023,AMAZONAS,CHACHAPOYAS,CHILIQUIN,xlsx,xlsx_id_local,0007,IE 18023,CALLE PRINCIPAL SN,-6.1041,-77.7012,0007,IE 18023,AMAZONAS,CHACHAPOYAS,CHILIQUIN,4
ambos,8,8,IE OCTAVIO ORTIZ ARRIETA,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,xlsx,xlsx_id_local,0008,IE OCTAVIO ORTIZ ARRIETA,JR EL PROGRESO SN,-6.9389,-77.8564,0008,IE OCTAVIO ORTIZ ARRIETA,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,3
ambos,9,9,IE 18037 JOSE ANTONIO ENCINA FRANCO,AMAZONAS,CHACHAPOYAS,GRANADA,xlsx,xlsx_id_local,0009,IE 18037 JOSE ANTONIO ENCINA FRANCO,JR AMARGURA SN,-6.1043,-77.6275,0009,IE 18037 JOSE ANTONIO ENCINA FRANCO,AMAZONAS,CHACHAPOYAS,GRANADA,2
ambos,11,11,IE 18041 PURIFICACION CULQUI PUIQUIN,AMAZONAS,CHACHAPOYAS,LA JALCA,xlsx,xlsx_id_local,0011,IE 18041 PURIFICACION CULQUI PUIQUIN,JR SAN FELIPE 590,-6.4843,-77.8161,0011,IE 18041 PURIFICACION CULQUI PUIQUIN,AMAZONAS,CHACHAPOYAS,LA JALCA,6
