codigoLocalVotacion,nombreLocalVotacion,reniec,inei,departamento,provincia,distrito,match_metodo,match_detalle,iiee_codigo_institucion,iiee_codigo_modular,iiee_nombre,iiee_ubigeo,iiee_codigo_local,iiee_direccion,iiee_nivel,iiee_gestion,iiee_latitud,iiee_longitud,iiee_altitud
11,IE 18041 PURIFICACION CULQUI PUIQUIN,010109,010109,AMAZONAS,CHACHAPOYAS,LA JALCA,xlsx,xlsx_id_local,,,IE 18041 PURIFICACION CULQUI PUIQUIN,010109,0011,JR SAN FELIPE 590,,,-6.4843,-77.8161,
7286,IE 18042,010109,010109,AMAZONAS,CHACHAPOYAS,LA JALCA,xlsx,xlsx_id_local,,,IE 18042,010109,7286,JR AMAZONAS 220 -QUILLUNIA,,,-6.5585,-77.8142,
12,IE 18043,010109,010109,AMAZONAS,CHACHAPOYAS,LA JALCA,xlsx,xlsx_id_local,,,IE 18043,010109,0012,JR SAN MARTIN SN,,,-6.487,-77.6048,
7868,IE JUAN VELASCO ALVARADO,010109,010109,AMAZONAS,CHACHAPOYAS,LA JALCA,xlsx,xlsx_id_local,,,IE JUAN VELASCO ALVARADO,010109,7868,JR TUPAC YUPANQUI 1000,,,-6.4821,-77.8183,
30862,IE 18006,010101,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,xlsx,xlsx_id_local,,,IE 18006,010101,30862,AV 11 DE OCTUBRE SN,,,-6.2169,-77.866,
3,IE 18022 MARIA AUXILIADORA,010101,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,xlsx,xlsx_id_local,,,IE 18022 MARIA AUXILIADORA,010101,0003,JR PIURA SN,,,-6.23219,-77.87233,
1,IE 18288 ISABEL LYNCH DE RUBIO,010101,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,xlsx,xlsx_id_local,,,IE 18288 ISABEL LYNCH DE RUBIO,010101,0001,JR AYACUCHO 870,,,-6.22887,-77.87167,
30860,IE EMBLEMATICA SAN JUAN DE LA LIBERTAD,010101,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,xlsx,xlsx_id_local,,,IE EMBLEMATICA SAN JUAN DE LA LIBERTAD,010101,30860,JR AMAZONAS 216,,,-6.22917,-77.8657,
7848,IE MIGUEL RUBIO,010101,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,xlsx,xlsx_id_local,,,IE MIGUEL RUBIO,010101,7848,JR LA MERCED 859,,,-6.23203,-77.86993,
7844,IE SEMINARIO JESUS MARIA,010101,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,xlsx,xlsx_id_local,,,IE SEMINARIO JESUS MARIA,010101,7844,JR CHINCHA ALTA 492,,,-6.22841,-77.8743,
2,IE VIRGEN ASUNTA,010101,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,xlsx,xlsx_id_local,,,IE VIRGEN ASUNTA,010101,0002,JR LA MERCED 665,,,-6.23028,-77.86994,
7846,IESP TORIBIO RODRIGUEZ DE MENDOZA,010101,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,xlsx,xlsx_id_local,,,IESP TORIBIO RODRIGUEZ DE MENDOZA,010101,7846,JR TRIUNFO 630,,,-6.23041,-77.86943,
5,IE 18012,010103,010103,AMAZONAS,CHACHAPOYAS,BALSAS,xlsx,xlsx_id_local,,,IE 18012,010103,0005,JR EL MAESTRO 130,,,-6.8356,-78.019,
7875,IE 18050,010110,010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,xlsx,xlsx_id_local,,,IE 18050,010110,7875,JR LEIMEBAMBA 615,,,-6.7045,-77.8005,
13,IE SAN AGUSTIN,010110,010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,xlsx,xlsx_id_local,,,IE SAN AGUSTIN,010110,0013,JR SAN CRISTOBAL CDRA 2 BARRIO RIMAC,,,-6.70537,-77.80567,
7,IE 18023,010105,010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,xlsx,xlsx_id_local,,,IE 18023,010105,0007,CALLE PRINCIPAL SN,,,-6.1041,-77.7012,
9,IE 18037 JOSE ANTONIO ENCINA FRANCO,010107,010107,AMAZONAS,CHACHAPOYAS,GRANADA,xlsx,xlsx_id_local,,,IE 18037 JOSE ANTONIO ENCINA FRANCO,010107,0009,JR AMARGURA SN,,,-6.1043,-77.6275,
8,IE OCTAVIO ORTIZ ARRIETA,010106,010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,xlsx,xlsx_id_local,,,IE OCTAVIO ORTIZ ARRIETA,010106,0008,JR EL PROGRESO SN,,,-6.9389,-77.8564,
53418,IEI 059,010106,010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,xlsx,xlsx_id_local,,,IEI 059,010106,53418,PLAZA PRINCIPAL DEL CCPP LA MORADA,,,-6.9493,-77.535,
7859,IEP 18323,010106,010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,xlsx,xlsx_id_local,,,IEP 18323,010106,7859,JR PROGRESO SN,,,-6.9385,-77.8557,
7236,IE 18040,010108,010108,AMAZONAS,CHACHAPOYAS,HUANCAS,xlsx,xlsx_id_local,,,IE 18040,010108,7236,JR SIMON BOLIVAR SN,,,-6.1743,-77.8636,
6,IE 18017,010104,010104,AMAZONAS,CHACHAPOYAS,CHETO,xlsx,xlsx_id_local,,,IE 18017,010104,0006,JR TRIUNFO SN,,,-6.2545,-77.7012,
4,IE 18010,010102,010102,AMAZONAS,CHACHAPOYAS,ASUNCION,xlsx,xlsx_id_local,,,IE 18010,010102,0004,PJE LA AMISTAD SN,,,-6.0317,-77.7102,
15,IE CESAR VALLEJO,010112,010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,xlsx,xlsx_id_local,,,IE CESAR VALLEJO,010112,0015,JR LIBERTAD 135,,,-6.3721,-77.9015,
53139,COMUNIDAD CAMPESINA DE OLLEROS,010116,010116,AMAZONAS,CHACHAPOYAS,OLLEROS,xlsx,xlsx_id_local,,,COMUNIDAD CAMPESINA DE OLLEROS,010116,53139,AV PLAZA DE ARMAS SN,,,-6.02389,-77.6764,
53140,IE 18066,010116,010116,AMAZONAS,CHACHAPOYAS,OLLEROS,xlsx,xlsx_id_local,,,IE 18066,010116,53140,JR JERUSALEN SN,,,-6.054,-77.4841,
18,IE 18065,010115,010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,xlsx,xlsx_id_local,,,IE 18065,010115,0018,JR SANTA ROSA SN,,,-6.618,-77.8011,
17,IE 18061,010114,010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,xlsx,xlsx_id_local,,,IE 18061,010114,0017,JR AMAZONAS 347,,,-6.20848,-77.66943,
53138,IE JOSE OLAYA,010114,010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,xlsx,xlsx_id_local,,,IE JOSE OLAYA,010114,53138,AV JOSE OLAYA 193,,,-6.20848,-77.66943,
21,IE SAN FRANCISCO,010118,010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,xlsx,xlsx_id_local,,,IE SAN FRANCISCO,010118,0021,JR CRISTO REY SN,,,-6.2252,-77.7311,
20,IE 18068,010117,010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,xlsx,xlsx_id_local,,,IE 18068,010117,0020,JR TRIUNFO SN,,,-6.0917,-77.6785,
23,IE 18074,010120,010120,AMAZONAS,CHACHAPOYAS,SOLOCO,xlsx,xlsx_id_local,,,IE 18074,010120,0023,JR RAMON GUEVARA SN,,,-6.25947,-77.74488,
31836,IE SAN MIGUEL,010120,010120,AMAZONAS,CHACHAPOYAS,SOLOCO,xlsx,xlsx_id_local,,,IE SAN MIGUEL,010120,31836,HUERTO LACCHO SN,,,-6.2643,-77.7452,
16,IE SEÑOR DE LOS MILAGROS,010113,010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,xlsx,xlsx_id_local,,,IE SEÑOR DE LOS MILAGROS,010113,0016,JR LIMATAMBO SN,,,-6.5947,-77.8097,
22,IE 18056,010119,010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,xlsx,xlsx_id_local,,,IE 18056,010119,0022,PJE DOS DE MAYO SN,,,-6.33866,-77.88068,
14,IE 18052 PADRE BLAS VALERA PEREZ,010111,010111,AMAZONAS,CHACHAPOYAS,LEVANTO,xlsx,xlsx_id_local,,,IE 18052 PADRE BLAS VALERA PEREZ,010111,0014,JR SANTO DOMINGO 1264,,,-6.30853,-77.89869,
24,IE 18077,010121,010121,AMAZONAS,CHACHAPOYAS,SONCHE,xlsx,xlsx_id_local,,,IE 18077,010121,0024,CARRETERA A SONCHE SN,,,-6.22125,-77.77445,
52482,IE 16200,010202,010202,AMAZONAS,BAGUA,ARAMANGO,xlsx,xlsx_id_local,,,IE 16200,010202,52482,JR PROGESO SN,,,-5.37673,-78.4567,
33,IE 16201,010202,010202,AMAZONAS,BAGUA,ARAMANGO,xlsx,xlsx_id_local,,,IE 16201,010202,0033,AV 28 DE JULIO SN,,,-5.34213,-78.44637,
53449,IE 16205,010202,010202,AMAZONAS,BAGUA,ARAMANGO,xlsx,xlsx_id_local,,,IE 16205,010202,53449,NUMPARQUE SN,,,-5.4433,-78.3872,
54130,IE 16320,010202,010202,AMAZONAS,BAGUA,ARAMANGO,estricto,sin_prefijo,20173580,0402297,16320,010202,003824,TUTUMBEROS,Primaria,Pública - Sector Educación,-5.33737800,-78.45449000,355
50001,IE AMAZONAS,010202,010202,AMAZONAS,BAGUA,ARAMANGO,xlsx,xlsx_id_local,,,IE AMAZONAS,010202,50001,CALLE BELAUNDE TERRY SN,,,-5.42017,-78.45212,
53439,IE JOSE GALVEZ,010202,010202,AMAZONAS,BAGUA,ARAMANGO,xlsx,xlsx_id_local,,,IE JOSE GALVEZ,010202,53439,DOS DE MAYO SN,,,-5.4607,-78.4604,
32,IE MIGUEL MONETZA TAFUR,010202,010202,AMAZONAS,BAGUA,ARAMANGO,xlsx,xlsx_id_local,,,IE MIGUEL MONETZA TAFUR,010202,0032,AV 28 DE JULIO SN,,,-5.4194,-78.4364,
50002,IE VICTOR RAUL HAYA DE LA TORRE,010202,010202,AMAZONAS,BAGUA,ARAMANGO,xlsx,xlsx_id_local,,,IE VICTOR RAUL HAYA DE LA TORRE,010202,50002,AV EL PORVENIR SN,,,-5.4828,-78.4823,
55006,IE 16324,010206,010205,AMAZONAS,BAGUA,IMAZA,estricto,sin_prefijo,22816241,0554642,16324,010205,003862,YANAT,Primaria,Pública - Sector Educación,-4.94360000,-78.53720000,647
54976,IE 16326,010206,010205,AMAZONAS,BAGUA,IMAZA,estricto,sin_prefijo,20173742,0402354,16326,010205,003881,HUANTSA,Primaria,Pública - Sector Educación,-4.99678100,-78.39019800,307
49,IE 16351 JOSE KISTUG PUJUPAT,010206,010205,AMAZONAS,BAGUA,IMAZA,xlsx,xlsx_id_local,,,IE 16351 JOSE KISTUG PUJUPAT,010206,0049,JR AUTUKAI 256,,,-4.7941,-78.2903,
40,IE 16352,010206,010205,AMAZONAS,BAGUA,IMAZA,xlsx,xlsx_id_local,,,IE 16352,010206,0040,CALLE PRINCIPAL SN,,,-5.05315,-78.33814,
53128,IE 16354 SHUSHUNG,010206,010205,AMAZONAS,BAGUA,IMAZA,xlsx,xlsx_id_local,,,IE 16354 SHUSHUNG,010206,53128,CALLE PRINCIPAL SN,,,-5.20028,-78.32083,
