nombre_onpe,nombre_locales_con_iiee
MILPUCC,MILPUC
NASCA,NAZCA
ANTONIO RAIMONDI,ANTONIO RAYMONDI
PAMPAS GRANDE,PAMPAS
IHUAYLLO,HUAYLLO
ANCO HUALLO,ANCO-HUALLO
SANTA RITA DE SIHUAS,SANTA RITA DE SIGUAS
SAN FRANCISCO DE RIVACAYCO,SAN FRANCISCO DE RAVACAYCO
SANTA CRUZ DE TOLED,SANTA CRUZ DE TOLEDO
CARMEN DE LA LEGUA - REYNOSO,CARMEN DE LA LEGUA REYNOSO
KIMBIRI,QUIMBIRI
HUALLAY - GRANDE,HUAYLLAY GRANDE
TOMAY - KICHWA,TOMAY KICHWA
QUISQUI (KICHKI),QUISQUI
DANIEL ALOMIA ROBLES,DANIEL ALOMIAS ROBLES
SAN JUAN DE ISCOS,SAN JUAN DE YSCOS
CAPASO,CAPAZO
ESTIQUE PAMPA,ESTIQUE-PAMPA
HEROES ALBARRACIN,HEROES ALBARRACIN CHUCATAMANI
RAIMONDI,RAYMONDI
HUALLA,HUAYA
ALLAUCA,AYAUCA
SAN PEDRO DE LARAOS,LARAOS
